202,91
189,89
179,88
171,88
162,91
149,96
146,100
131,101
135,95
157,92
162,93
181,93
195,95
203,98
203,108
193,108
182,108
173,110
160,110
140,111
136,110
134,115
143,117
154,114
165,113
179,114
197,116
196,119
186,123
173,137
161,134
152,136
139,134
146,133
140,126
153,126
177,125
174,125
163,132
187,123
194,94
184,93
171,92
160,99
143,106
139,101
153,99
165,101
174,107
200,99
145,126
140,136
148,126
164,137
178,138
182,138
193,130
194,107
184,109
174,112
180,111
167,112
153,111
132,110
130,102
137,98
146,93
167,94
189,99
193,102
